location,acvi_score,temperature_volatility,precipitation_volatility,moisture_stress,extreme_events
EG_NileDelta,83.7817934038141,100.0,100.0,100.0,59.45448350953528
ES_Andalusia,81.91632784217174,87.02468082254093,100.0,100.0,59.65656429697648
US_California_CentralValley,81.57456426886534,71.44654452116221,90.45128927560188,100.0,70.61190067947636
ZA_FreeState,73.96099385941919,11.319451976513559,100.0,87.22130106650798,74.5470396241014
AR_LaPampa,69.4979802868937,36.7560785923296,87.39877793525824,69.11857295462703,70.77789855826076
IN_MadhyaPradesh,68.70831722077938,96.13948104350015,77.26617201833031,50.60906756592275,62.12259636621806
BR_Goias,66.86468946121403,75.75379361017433,93.9563550645939,38.54546083595359,60.758598715871734
BR_MatoGrosso,66.54559109514366,94.135929403778,80.57029687781933,41.95198675866393,59.73057528347335
US_Nebraska,66.42807217698788,52.27145326898845,30.910481739527974,59.340683913066925,97.4789924228606
IN_UttarPradesh,65.82310360287413,100.0,42.09782038711305,77.97154273223069,61.76084989912432
AR_Cordoba,62.716528938414285,22.06899512446202,99.97687174437345,66.24055708978048,52.90962578923881
IN_Punjab,61.979522140976194,100.0,36.481266613378345,71.78621870835585,58.75490436490109
KZ_Akmola,59.68924316362235,24.643811715922567,23.926233550406316,50.05556509316192,100.0
KZ_Kostanay,59.15069263595636,28.03943934741352,20.214366089713636,49.455926057079616,100.0
TR_Konya,58.2649677750139,34.1495347573008,41.00922354880854,63.331653909375085,75.55975223085406
US_NorthDakota,56.14097430882866,29.221798608536027,17.636607543516917,36.742763158345134,100.0
US_Iowa,56.12486641305979,38.67377487009123,17.73242232832801,38.01920109382435,95.71713595424808
ES_CastillaLeon,55.3650500224194,39.53771296372684,43.702514335185185,57.386504389055204,67.5786590406326
CN_Henan,54.84157028389831,77.95406747350734,24.012161153494816,57.52987158188157,64.09861389530546
AR_BuenosAires,53.530558579940674,24.795133743578784,49.15024692181834,56.11922106575421,65.74970643699606
US_Kansas,53.38926680404964,70.80450682299252,4.149854666761586,55.21214850743279,76.7217435310595
CA_Manitoba,52.140740514955716,19.57494120605537,19.999119285646582,34.32952411672629,93.34703672322627
HU_Puszta,51.16199802586287,37.09791693514644,28.234993432108123,55.866354052812554,68.41322829250342
UA_East_Kharkiv,49.1501908773202,25.199930812971733,17.94155171954174,29.552760618523195,87.43565300446092
CN_Heilongjiang,49.05634601016906,4.609926746870161,23.47588570180038,22.159401513315345,95.16001317506341
CN_Shandong,48.26384059558184,54.741105559684314,19.53476997771116,38.243994639405585,68.80045834830072
UA_Poltava,48.11448629116338,28.400837939569517,9.234973012507028,38.84574996601658,84.4411683847447
UA_South_Kherson,47.99912891552314,38.08059502486873,24.068671818458963,52.58498313378597,64.38218770105223
UA_Center_Kirovohrad,47.03669260229984,29.436951907847543,7.124009837994818,44.29756141740049,79.95158768285975
AU_NewSouthWales,46.76836057507268,16.597408504686147,75.60535534772302,98.4821296742838,14.202461318955597
CN_Jilin,44.855476786782255,5.260155334115275,10.979921528163178,14.817520367655598,95.89492257773261
UA_Odesa,44.39324467040623,17.33746104051746,21.90405608049293,57.94899760678275,61.81702993212208
CA_Saskatchewan,43.619422896201755,13.553804817594683,17.3937913713949,29.854937459237718,78.16729209716571
US_Minnesota,42.576318422971646,13.345774510874337,0.0,21.88798842745113,90.49213640212567
RO_Wallachia,42.29717579191738,46.349263559238025,0.0,48.251829091887736,64.23605109913532
US_Illinois,40.122681351041,32.83946493130908,0.0,9.50751914155525,83.23814445758397
UA_Vinnytsia,37.72786909683228,17.172931281806562,10.669732387248992,34.64178437232794,63.890348583208656
RO_Moldavia,35.960546682199265,19.177356391874685,3.085001472961639,36.21417199562609,62.67464614013109
FR_Bordeaux,34.39889794858256,24.469720169274225,15.2391317900716,31.157056844945814,51.718114016710906
CA_Alberta,32.04704187088558,22.564551836392955,0.730286556864859,8.617346192681643,66.89079554418524
UA_North_Chernihiv,31.295989013919133,11.602062001522548,23.098511923531692,23.676603939264307,47.61432736238741
UA_Zhytomyr,28.89432890008068,9.935985468167152,6.611863667860161,24.46380379426248,52.14551101009517
PL_Mazowieckie,23.859491775120606,9.48883979844325,5.532607009319159,19.955794033664212,42.654638115728716
PL_Wielkopolskie,21.81387079537142,9.362256163756093,13.417422029013206,24.88330220846226,30.196291054655628
UA_West_Ternopil,21.70506521383394,9.370790847351246,2.9436639033405725,15.9264284596147,40.94561229743292
AR_SantaFe,19.41542458701811,20.295648311702987,28.103580814472583,14.112203663109385,16.306853510056595
IT_PoValley,18.999346703018897,17.3927624344358,3.8949687735393743,20.507052819481373,28.28819895143102
DE_Bavaria,13.596935018876202,10.362219164213759,0.04190087097765201,0.0,30.08031731624931
AU_Victoria,13.090795940934434,18.398551273143674,17.610107477629157,22.292214935215416,3.6751084837812775
UA_Lviv,12.397636363924116,0.00032420479197583943,0.44670329186404234,9.503140604514245,25.96320947334115
DE_LowerSaxony,11.739380095261733,5.673629288009742,9.483146863692863,9.870698778311885,16.3585230761867
FR_Beauce,11.530138415845672,15.148464283787,10.998918579309723,2.6225219810073352,14.959086830621809
AU_WesternAustralia,10.236075963828297,0.0,27.13070036898193,17.26700435791407,0.0
ZA_WesternCape,6.4142552750225255,0.0,17.624630735435513,10.040487955818236,0.0
BR_Parana,6.3376919739800694,7.852985021875105,19.284399269495943,0.0,0.8466110083120448
UK_Lincolnshire,5.032827398551551,0.0,19.222447472612767,0.0,0.5680388259958975
NL_Flevoland,3.409564476469361,3.695555453444542,11.09741207997704,0.4043906922920973,0.0
